#linked controls - field - Control Voltage Kepco - Plot 0	TFPDAS4-Project - COUNTS ACC - Plot 0	linked controls - field - Control Voltage Kepco - Plot 1	TFPDAS4-Project - COUNTS ACC - Plot 1	linked controls - field - Control Voltage Kepco - Plot 2	TFPDAS4-Project - COUNTS ACC - Plot 2	
		9.3	1060	9.3	271	
		9.4	1020	9.4	309	
		9.5	1066	9.5	292	
		9.6	1127	9.6	332	
		9.7	1070	9.7	317	
		9.8	1151	9.8	350	
		9.9	1089	9.9	362	
		10	1072	10	341	
		10.1	991	10.1	309	
		10.2	938	10.2	325	
		10.3	958	10.3	341	
		10.4	864	10.4	304	
		10.5	869	10.5	289	
		10.6	883	10.6	278	
		10.7	955	10.7	320	
		10.8	894	10.8	311	
		10.9	919	10.9	290	
		11	869	11	308	
		11.1	940	11.1	339	
		11.2	996	11.2	351	
		11.3	956	11.3	339	
		11.4	888	11.4	359	
		11.5	902	11.5	341	
		11.6	1000	11.6	332	
		11.7	985	11.7	377	
		11.8	901	11.8	351	
		11.9	1012	11.9	342	
		12	914	12	344	
		12.1	1002	12.1	370	
		12.2	980	12.2	376	
		12.3	1045	12.3	369	
		12.4	1036	12.4	405	
		12.5	1137	12.5	419	
		12.6	1108	12.6	412	
		12.7	1155	12.7	377	
		12.8	1143	12.8	431	
		12.9	1218	12.9	447	
		13	1184	13	390	
		13.1	1246	13.1	393	
		13.2	1156	13.2	390	
		13.3	1205	13.3	462	
		13.4	1193	13.4	417	
		13.5	1173	13.5	424	
		13.6	1118	13.6	453	
		13.7	1089	13.7	444	
		13.8	1463	13.8	519	
		13.9	1286	13.9	498	
		14	1306	14	492	
		14.1	1222	14.1	461	
		14.2	1275	14.2	507	
		14.3	1378	14.3	497	
		14.4	1295	14.4	507	
		14.5	1421	14.5	584	
		14.6	1317	14.6	586	
		14.7	1470	14.7	545	
		14.8	1454	14.8	603	
		14.9	1429	14.9	700	
		15	1598	15	714	
