{242/3, 18.912240558054414}
{81, 18.981729284255813}
{244/3, 19.051283786865337}
{245/3, 19.12090508949126}
{82, 19.19059421070443}
{247/3, 19.260352164066287}
{248/3, 19.33017995815701}
{83, 19.400078596603585}
{250/3, 19.47004907810809}
{251/3, 19.540092396476034}
{84, 19.610209540644455}
{253/3, 19.68040149471019}
{254/3, 19.750669237957933}
{85, 19.821013744888074}
{256/3, 19.891435985244517}
{257/3, 19.9619369240422}
{86, 20.03251752159422}
{259/3, 20.103178733538932}
{260/3, 20.173921510866442}
{87, 20.24474679994484}
{262/3, 20.315655542546054}
{263/3, 20.386648675871122}
{88, 20.457727132575034}
{265/3, 20.528891840791115}
{266/3, 20.600143724154744}
{89, 20.67148370182645}
{268/3, 20.742912688514487}
{269/3, 20.814431594496728}
{90, 20.886041325641695}
{271/3, 20.95774278342912}
{272/3, 21.0295368649695}
{91, 21.101424463023086}
{274/3, 21.173406466017934}
{275/3, 21.245483758067135}
{92, 21.317657218985246}
{277/3, 21.389927724303796}
{278/3, 21.462296145286007}
{93, 21.534763348940295}
{280/3, 21.607330198033356}
{281/3, 21.67999755110179}
{94, 21.752766262463144}
{283/3, 21.825637182225837}
{284/3, 21.898611156298116}
{95, 21.971689026396113}
{286/3, 22.044871630050892}
{287/3, 22.118159800614507}
{96, 22.191554367265105}
{289/3, 22.265056155011163}
{290/3, 22.338665984694526}
{97, 22.412384672992765}
{292/3, 22.486213032420427}
{293/3, 22.56015187132946}
{98, 22.63420199390863}
{295/3, 22.70836420018214}
{296/3, 22.782639286007356}
{99, 22.857028043071647}
{298/3, 22.931531258888445}
{299/3, 23.00614971679256}
{100, 23.080884195934555}
